word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
20.0,105.0,0,0.0,1.0,0.0,0.0,0.0,NORMAL
22.0,109.0,0,0.0,0.0,0.0,0.1,0.0,NORMAL
11.0,51.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
26.0,137.0,0,0.0,0.0,0.07692307692307693,0.14166666666666666,1.0,URGENT
18.0,100.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
5.0,35.0,0,0.0,3.0,0.0,0.0,1.0,NORMAL
30.0,168.0,0,0.0,0.0,0.0,1.0,1.0,NORMAL
5.0,25.0,0,0.0,0.0,1.0,0.0,0.0,URGENT
28.0,158.0,0,0.0,1.0,0.0,0.3666666666666667,0.0,NORMAL
15.0,95.0,0,0.0,0.0,0.0,0.5,1.0,NORMAL
26.0,139.0,0,2.0,0.0,0.038461538461538464,0.2714285714285714,1.0,URGENT
5.0,40.0,0,0.0,0.0,0.0,-0.1,0.0,URGENT
12.0,58.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
10.0,89.0,0,0.0,0.0,0.0,0.4454545454545455,1.0,URGENT
11.0,64.0,0,0.0,1.0,0.0,0.0,1.0,NORMAL
23.0,122.0,0,0.0,0.0,0.0,-0.2833333333333333,0.0,NORMAL
18.0,119.0,1,0.0,0.0,0.0,0.3333333333333333,1.0,URGENT
25.0,127.0,0,2.0,0.0,0.0,0.1,0.0,URGENT
8.0,58.0,0,0.0,1.0,0.0,-0.11666666666666664,0.0,NORMAL
44.0,256.0,1,3.0,0.0,0.0,-0.381875,0.0,URGENT
8.0,38.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
24.0,134.0,0,0.0,0.0,0.08333333333333333,0.13636363636363635,0.0,NORMAL
1.0,7.0,0,0.0,0.0,0.0,0.0,1.0,URGENT
14.0,87.0,0,0.0,0.0,0.0,0.1,0.0,NORMAL
10.0,56.0,0,0.0,2.0,0.0,0.0,0.0,NORMAL
1.0,9.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
15.0,95.0,1,0.0,0.0,0.0,0.0,0.0,URGENT
21.0,107.0,0,0.0,2.0,0.0,-0.25,0.0,URGENT
12.0,63.0,0,0.0,0.0,0.0,0.2,0.0,URGENT
14.0,88.0,0,0.0,1.0,0.0,0.45,0.0,NORMAL
38.0,201.0,0,0.0,0.0,0.02631578947368421,-0.425,1.0,URGENT
27.0,124.0,0,0.0,0.0,0.0,0.13636363636363635,0.0,URGENT
41.0,244.0,1,0.0,1.0,0.0975609756097561,0.03333333333333333,3.0,URGENT
1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
21.0,115.0,0,0.0,0.0,0.0,-0.15,0.0,URGENT
9.0,48.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
22.0,132.0,0,0.0,1.0,0.0,-0.2222222222222222,0.0,NORMAL
29.0,187.0,0,0.0,0.0,0.0,-0.65,1.0,URGENT
25.0,143.0,0,0.0,1.0,0.04,0.0,1.0,NORMAL
14.0,75.0,0,0.0,0.0,0.0,0.5,0.0,URGENT
26.0,136.0,1,1.0,0.0,0.038461538461538464,0.0,1.0,URGENT
26.0,139.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
5.0,38.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
2.0,8.0,0,0.0,0.0,0.0,1.0,0.0,URGENT
2.0,21.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
43.0,267.0,1,0.0,0.0,0.046511627906976744,-0.15000000000000002,0.0,URGENT
22.0,146.0,0,0.0,0.0,0.0,0.0,2.0,NORMAL
24.0,129.0,1,0.0,0.0,0.0,0.0,0.0,URGENT
27.0,145.0,0,4.0,0.0,0.0,-0.39999999999999997,1.0,URGENT
2.0,14.0,0,0.0,0.0,0.0,0.8,0.0,URGENT
9.0,56.0,0,0.0,1.0,0.0,0.0,1.0,NORMAL
34.0,186.0,1,1.0,0.0,0.0,0.3,2.0,URGENT
26.0,126.0,0,0.0,1.0,0.0,0.0,0.0,NORMAL
3.0,14.0,0,0.0,0.0,0.0,0.06818181818181818,0.0,NORMAL
26.0,145.0,0,0.0,0.0,0.038461538461538464,0.16666666666666666,0.0,NORMAL
21.0,123.0,0,0.0,1.0,0.0,0.0,0.0,NORMAL
13.0,60.0,0,0.0,1.0,0.07692307692307693,-0.5,1.0,NORMAL
4.0,28.0,0,0.0,0.0,0.0,0.2857142857142857,0.0,NORMAL
1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
